           1  0.89292645826896655     
           2  0.79779494595716371     
           3  0.71945370805794884     
           4  0.64934411214677279     
           5  0.58743210433597448     
           6  0.53160733043263908     
           7  0.48280330767929464     
           8  0.43582692858726496     
           9  0.39197212444211538     
          10  0.35199084417016607     
          11  0.31190521186669029     
          12  0.27265723213747556     
          13  0.23876882974247254     
          14  0.20432720347313707     
          15  0.17806501289606336     
          16  0.15345776709916634     
          17  0.13368215764411828     
          18  0.11489747017499188     
          19   9.6685947966775723E-002
          20   8.4187728456031466E-002
          21   7.2879025021389959E-002
          22   6.1396013612451672E-002
          23   5.2209826195099528E-002
          24   4.5221058415175826E-002
          25   3.7091433786736024E-002
          26   2.9822184387976066E-002
          27   2.4185149380201051E-002
          28   1.8143815301521350E-002
          29   1.2867895759589668E-002
          30   7.9382046871464482E-003
          31   6.8184428634057660E-004
          32  -6.4074397221268757E-003
          33  -1.2046254768885984E-002
          34  -1.1904334055552168E-002
          35  -1.1524341106926034E-002
          36  -9.8531628823369105E-003
          37  -1.2259759138473131E-002
          38  -1.3681116991660724E-002
          39  -1.5697931312935683E-002
          40  -1.3354462884898973E-002
          41  -1.1043587684409061E-002
          42  -1.3169557006220843E-002
          43  -1.6102561213437710E-002
          44  -1.6678774554734387E-002
          45  -1.3883546439090127E-002
          46  -1.1220262802136872E-002
          47  -3.7166393021450203E-003
          48   2.9767080697522602E-003
          49   7.1073737997163506E-003
          50   1.0626104020423535E-002
          51   1.3941441064232394E-002
          52   1.5112241186563775E-002
          53   1.4746362830397890E-002
          54   1.2547992482169956E-002
          55   7.6114735889090809E-003
          56   5.6433224743121435E-003
          57   5.9115495250485432E-003
          58   6.5699789454756559E-003
          59   5.1774965582109273E-003
          60   6.5946454286509087E-003
          61   9.5947712583102224E-003
          62   1.0560202043593465E-002
          63   1.1557316124335954E-002
          64   1.2281571739313083E-002
          65   1.4643232718183859E-002
          66   1.6626611481270252E-002
          67   1.5589471549213266E-002
          68   1.4789273789764497E-002
          69   1.4622402612716740E-002
          70   1.8675720664863640E-002
          71   2.2066542594538916E-002
          72   2.4597232201078519E-002
          73   2.5071231318905231E-002
          74   2.8299933441284751E-002
          75   3.1558995879662537E-002
          76   3.0059498818182376E-002
          77   2.7338360663794470E-002
          78   2.3739889506776416E-002
          79   2.0477493152224656E-002
          80   1.4065449012632075E-002
          81   1.0740443559330617E-002
          82   7.0520284514272759E-003
          83   1.8904645133469291E-003
          84  -6.7848684223561064E-004
          85  -4.4726174971681963E-003
          86  -9.0899264933739319E-003
          87  -1.0379069064595958E-002
          88  -1.0963302891998849E-002
          89  -9.9158605932933106E-003
          90  -9.5746140339930588E-003
          91  -9.2322813859412028E-003
          92  -9.0349993891630162E-003
          93  -9.6810274615041526E-003
          94  -1.1774469996504744E-002
          95  -1.3347249979743006E-002
          96  -1.5200719212116692E-002
          97  -1.2816668023719674E-002
          98  -1.0110545519100553E-002
          99  -5.1102760658195967E-003
         100  -2.7824396480520346E-003
