       1, 0.00
       2, 0.00
       3, 0.00
       4, 1.04
       5, 1.04
       6, 1.04
       7, 1.04
       8, 1.04
       9, 1.04
      10,-1.18
      11,-1.18
      12,-1.68
      13,-2.19
      14,-0.91
      15,-0.91
      16, 1.36
      17, 1.25
      18, 1.42
      19, 2.15
      20, 0.57
      21, 0.43
      22, 1.34
      23, 1.34
      24, 0.06
      25, 2.03
      26, 2.03
      27, 1.47
      28, 1.84
      29, 1.84
      30, 0.39
      31, 0.39
      32, 1.62
      33,-0.39
      34, 0.05
      35, 0.05
      36, 0.05
      37,-0.14
      38,-0.21
      39, 0.37
      40, 1.14
      41,-0.19
      42,-0.19
      43,-0.19
      44,-0.19
      45,-0.35
      46,-0.35
      47,-0.35
      48, 0.98
      49, 0.98
      50,-1.11
      51, 0.22
      52, 0.22
      53, 0.22
      54, 1.32
      55, 1.32
      56,-0.20
      57,-0.20
      58, 0.63
      59, 0.63
      60,-0.13
      61,-0.13
      62, 1.13
      63, 1.13
      64, 1.48
      65, 1.48
      66, 1.84
      67, 1.84
      68, 2.65
      69, 0.71
      70, 0.47
      71, 0.27
      72, 0.27
      73,-0.66
      74,-1.16
      75,-0.36
      76,-0.36
      77,-0.36
      78, 1.32
      79,-0.50
      80,-0.50
      81, 0.96
      82, 1.20
      83, 0.26
      84,-1.91
      85,-1.91
      86,-1.91
      87,-1.91
      88, 0.48
      89,-0.70
      90,-0.10
      91, 0.03
      92,-0.56
      93,-0.56
      94,-1.88
      95,-1.88
      96,-1.30
      97,-1.30
      98,-0.51
      99, 1.27
     100, 0.40
     101, 0.40
     102, 0.40
     103,-0.12
     104,-0.12
     105, 2.21
     106, 0.87
     107,-0.22
     108,-0.46
     109,-0.66
     110, 1.45
     111, 0.33
     112,-0.20
     113,-1.53
     114,-1.53
     115,-1.37
     116, 0.49
     117, 0.55
     118, 0.65
     119, 0.65
     120, 1.59
     121, 1.59
     122, 1.59
     123,-0.08
     124,-0.08
     125,-0.08
     126,-0.57
     127,-0.57
     128,-0.57
     129,-0.08
     130, 2.18
     131, 2.18
     132, 2.63
     133, 2.04
     134, 0.61
